Execution example::

  load --table Dictionary
  [
  {"_key": "Apple"},
  {"_key": "black"},
  {"_key": "COLOR"}
  ]
  # [[0,1337566253.89858,0.000355720520019531],3]
  select Dictionary
  # [
  #   [
  #     0,
  #     1337566253.89858,
  #     0.000355720520019531
  #   ],
  #   [
  #     [
  #       [
  #         3
  #       ],
  #       [
  #         [
  #           "_id",
  #           "UInt32"
  #         ],
  #         [
  #           "_key",
  #           "ShortText"
  #         ]
  #       ],
  #       [
  #         1,
  #         "apple"
  #       ],
  #       [
  #         2,
  #         "black"
  #       ],
  #       [
  #         3,
  #         "color"
  #       ]
  #     ]
  #   ]
  # ]
